Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,N[C@@H](CCCNC(N)=O)C(O)=O,1
Glutathione-NEM,NA,NA,NA,NA,NA,NA,NA,0
Aminolevulinic acid,5-Aminolevulinic acid,HMDB0001149,137,17549,C00430,6037,NCC(=O)CCC(O)=O,1
Glutamine,Glutamine,HMDB0000641,5961,18050,C00064,5614,N[C@@H](CCC(N)=O)C(O)=O,1
Glucosamine,Glucosamine,HMDB0001514,439213,47977,C00329,266,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1
UMP,Uridine 5'-monophosphate,HMDB0000288,6030,16695,C00105,NA,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1
UDP-glucuronic acid,Uridine diphosphate glucuronic acid,HMDB0000935,17473,17200,C00167,5884,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O,1
Acetylcholine,Acetylcholine,HMDB0000895,187,15355,C01996,57,CC(=O)OCC[N+](C)(C)C,1
Lactic acid,Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@H](O)C(O)=O,1
Phenylalanine,Phenylalanine,HMDB0000159,6140,17295,C00079,28,N[C@@H](CC1=CC=CC=C1)C(O)=O,1
C5:0-carnitine,NA,NA,NA,NA,NA,NA,NA,0
CMP,Cytidine monophosphate,HMDB0000095,6131,17361,C00055,5143,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Acetyl-CoA,Acetyl-CoA,HMDB0001206,444493,15351,C00024,6082,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,1
Citicoline,Citicoline,HMDB0001413,13805,49086,C00307,6229,C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,1
NMN,Nicotinamide ribotide,HMDB0000229,14181,14648,C00455,5238,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Trimethyllysine,"N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,440120,17311,C03793,6161,C[N+](C)(C)CCCC[C@H](N)C([O-])=O,1
Oxoadipic acid,Oxoadipic acid,HMDB0000225,71,15753,C00322,5234,OC(=O)CCCC(=O)C(O)=O,1
N-Acetylneuraminic acid,N-Acetylneuraminic acid,HMDB0000230,445063,45744,C19910,3321,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,1
N-Acetylaspartylglutamic acid,N-Acetylaspartylglutamic acid,HMDB0001067,188803,73688,C12270,NA,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1
Threonine,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@@H](O)[C@H](N)C(O)=O,1
Choline,Choline,HMDB0000097,305,15354,C00114,56,C[N+](C)(C)CCO,1
ADP,ADP,HMDB0001341,6022,16761,C00008,6175,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
"1,3-Diphosphoglycerate","Glyceric acid 1,3-biphosphate",HMDB0001270,439191,16001,C00236,NA,O[C@H](COP(O)(O)=O)C(=O)OP(O)(O)=O,1
FAD+,FAD,HMDB0001248,643975,16238,C00016,6106,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,1
Carnosine,Carnosine,HMDB0000033,439224,15727,C00386,38,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,1
Dopamine,Dopamine,HMDB0000073,681,18243,C03758,64,NCCC1=CC(O)=C(O)C=C1,1
Methylglutaric acid,Methylglutaric acid,HMDB0000752,12284,68566,NA,5720,CC(CC(O)=O)CC(O)=O,1
NADH,NADH,HMDB0001487,439153,16908,C00004,3687,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
NADPH,NADPH,HMDB0000221,5884,16474,C00005,3691,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
Homocitrulline,Homocitrulline,HMDB0000679,65072,17443,C02427,46,N[C@@H](CCCCNC(N)=O)C(O)=O,1
C9:0-carnitine,NA,NA,NA,NA,NA,NA,NA,0
Cysteic acid,Cysteic acid,HMDB0002757,25701,21260,C00506,332,NC(CS(O)(=O)=O)C(O)=O,1
Asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,N[C@@H](CC(N)=O)C(O)=O,1
Leucine,Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@H](N)C(O)=O,1
dAMP,Deoxyadenosine monophosphate,HMDB0000905,12599,17713,C00360,3461,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1
Argininosuccinic acid,Argininosuccinic acid,HMDB0000052,16950,15682,C03406,5115,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,1
Hypoxanthine,Hypoxanthine,HMDB0000157,790,17368,C00262,83,OC1=NC=NC2=C1NC=N2,1
Homoserine,L-Homoserine,HMDB0000719,12647,15699,C00263,5687,N[C@@H](CCO)C(O)=O,1
Hydroxykynurenine,Hydroxykynurenine,HMDB0000732,89,1547,C02794,5700,NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O,1
Serine,Serine,HMDB0000187,5951,17115,C00065,5203,N[C@@H](CO)C(O)=O,1
SAH,S-Adenosylhomocysteine,HMDB0000939,439155,16680,C00021,296,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,1
Inosine,Inosine,HMDB0000195,6021,17596,C00294,84,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1
alpha-ketoglutaric acid,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,OC(=O)CCC(=O)C(O)=O,1
Agmatine,Agmatine,HMDB0001432,199,17431,C00179,3523,NCCCCNC(N)=N,1
Kynurenine,Kynurenine,HMDB0000684,161166,16946,C00328,72,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,1
Ornithine,Ornithine,HMDB0000214,6262,15729,C00077,27,NCCC[C@H](N)C(O)=O,1
Suberic acid,Suberic acid,HMDB0000893,10457,9300,C08278,4243,OC(=O)CCCCCCC(O)=O,1
Tryptophan,L-Tryptophan,HMDB0000929,6305,16828,C00078,5879,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1
Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,HMDB0000755,9378,17385,C03672,5723,OC(CC1=CC=C(O)C=C1)C(O)=O,1
Carbamoyl-Aspartic acid,NA,NA,NA,NA,NA,NA,NA,0
8-oxodG,8-Hydroxy-deoxyguanosine,HMDB0003333,73318,40304,NA,6890,NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,1
Guanosine,Guanosine,HMDB0000133,6802,16750,C00387,87,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,1
C6:0-carnitine,NA,NA,NA,NA,NA,NA,NA,0
SAM,S-Adenosylmethionine,HMDB0001185,34756,15414,C00019,6064,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,1
Methionine,Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@H](N)C(O)=O,1
Hexanoylglycine,Hexanoylglycine,HMDB0000701,99463,64390,NA,5669,CCCCCC(=O)NCC(O)=O,1
Carnitine,L-Carnitine,HMDB0000062,10917,16347,C00487,52,C[N+](C)(C)C[C@H](O)CC(O)=O,1
5-MOT,5-Methoxytryptamine,HMDB0004095,1833,2089,C05659,7015,COC1=CC2=C(NC=C2CCN)C=C1,1
Targinine,L-Targinine,HMDB0029416,132862,28229,C03884,NA,CNC(=N)NCCC[C@H](N)C(O)=O,1
N-Formyl-methionine,NA,NA,NA,NA,NA,NA,NA,0
Arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
Histidine,Histidine,HMDB0000177,6274,15971,C00135,21,N[C@@H](CC1=CN=CN1)C(O)=O,1
Hexanoylcarnitine,Hexanoylcarnitine,HMDB0000756,3246938,84834,NA,3548,CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
Taurine,Taurine,HMDB0000251,1123,15891,C00245,31,NCCS(O)(=O)=O,1
Glyceric acid,Glyceric acid,HMDB0000139,439194,32398,C00258,280,OC[C@@H](O)C(O)=O,1
Histamine,Histamine,HMDB0000870,774,18295,C00388,68,NCCC1=CNC=N1,1
4-Guanidobutanoic acid,NA,NA,NA,NA,NA,NA,NA,0
Hypotaurine,Hypotaurine,HMDB0000965,107812,16668,C00519,281,NCCS(O)=O,1
Phosphoenoylpyruvate,NA,NA,NA,NA,NA,NA,NA,0
dGMP,2'-Deoxyguanosine 5'-monophosphate,HMDB0001044,65059,16192,C00362,NA,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1,1
UTP,Uridine triphosphate,HMDB0000285,6133,15713,C00075,5277,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,1
1-Methyladenosine,1-Methyladenosine,HMDB0003331,27476,16020,C02494,6888,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,1
Phosphoserine,Phosphoserine,HMDB0000272,68841,15811,C01005,5270,N[C@@H](COP(O)(O)=O)C(O)=O,1
GSSG,Oxidized glutathione,HMDB0003337,65359,17858,C00127,6893,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1
Succinyl-homoserine,NA,NA,NA,NA,NA,NA,NA,0
Niacinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
Cystine,Cystine,HMDB0250712,595,17376,C01420,NA,NC(CSSCC(N)C(O)=O)C(O)=O,1
C8:0-carnitine,NA,NA,NA,NA,NA,NA,NA,0
Norepinephrine,Norepinephrine,HMDB0000216,439260,18357,C00547,5226,NC[C@H](O)C1=CC(O)=C(O)C=C1,1
ADMA,Asymmetric dimethylarginine,HMDB0001539,123831,17929,C03626,6309,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,1
Proline,Proline,HMDB0000162,145742,17203,C00148,29,OC(=O)[C@@H]1CCCN1,1
ATP,Adenosine triphosphate,HMDB0000538,5957,15422,C00002,5523,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
Pyridoxal 5-phosphate,Pyridoxal 5'-phosphate,HMDB0001491,1051,18405,C00018,6275,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,1
Lysine,Lysine,HMDB0000182,5962,18019,C00047,5200,NCCCC[C@H](N)C(O)=O,1
